ts,event,primary_in_recovery,primary_lsn,replica_in_recovery,replica_receive_lsn,replica_replay_lsn,row_id,payload,note
2025-09-03T14:12:58.029795,scenario_start,False,0/A0409D0,True,0/A0409D0,0/A0409D0,,,
2025-09-03T14:12:58.705182,create_on_primary,False,0/A05F4B0,True,0/A05F4B0,0/A05C1C8,1,create_on_primary,
